strate_CP;sexe;IPS_CP;strate_CE1;CPFCOMO_Debut;CPFCOPH_Debut;CPFCOTE_Debut;CPFPHPH_Debut;CPFPHSY_Debut;CPFRLGP_Debut;CPFRLLE_Debut;CPFRLSI_Debut;CPFRLSY_Debut;CPMETNOCOEN_Debut;CPMETNOCORN_Debut;CPMETNOPR_Debut;CPMUTNOCA_Debut;CPMUTNOGN_Debut;CPMUTNOLN_Debut;CPFCOPH_Mi;CPFLILVMO_Mi;CPFLILVMOINV_Mi;CPFLILVTE_Mi;CPFLOE_Mi;CPFLOR_Mi;CPFPHPH_Mi;CPFRLGP_Mi;CPMNOCACOGN_Mi;CPMNOCACOLN_Mi;CPMNOCANECLAD_Mi;CPMNOCANECLSO_Mi;CPMNOCANOEN_Mi;CPMNOCARP_Mi;CE1COMO;CE1COPH;CE1FLOE;CE1FLOR;CE1LICP;CE1LICTEN;CE1LILVMO;CE1LILVTE;CE1MEGAS;CE1MNOCACOLN;CE1MNOCANECLAD;CE1MNOCANECLSO;CE1MNOCANECM;CE1MNOCANOEN;CE1MNOCANORC;CE1MNOCANORP;CE1MNOCARP;IPS_CE1;birthday;CodeEleve;CodeEtablissementCP;CodeEtablissementCE1;CodeClasseCP;CodeClasseCE1
Public Hors REP;Fille;103.1;Public Hors EP;13;13;16;3;10;2;5;3;12;11;10;1;8;32;4;12;19;10;;6;7;8;10;40;1.5;7;7;7;5;14;15;10;8;8;8;49;40;5;11.5;5;5;10;10;9;12;6;103.9;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;121.9;Public Hors EP;15;13;15;15;14;10;7;2;9;11;10;5;8;30;4;13;72;36;72.5;10;8;11;10;40;7;6;7;10;4;15;14;11;12;10;6;57;73;8;12;6;2;9;10;10;8;5;120.3;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;102.8;Public Hors EP;14;12;12;12;12;10;4;4;21;11;8;4;7;59;1;13;20;22;27;10;7;12;9;40;9.5;7;6;10;3;14;14;6;8;6;6;36;30;8;1;6;0;8;8;9;7;2;104.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;121.6;Public Hors EP;14;13;15;12;15;8;4;4;10;11;10;5;7;19;1;11;29;33.3333333333333;47.027027027027;10;8;9;10;40;6;7;6;10;4;14;14;11;12;10;8;70.5882352941177;74;8;10.5;7;0;9;10;10;13;6;114.1;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;130.5;Public Hors EP;11;12;8;3;13;8;5;2;20;11;10;3;8;16;2;12;27;24;24;10;6;8;10;40;2.5;7;3;10;3;14;13;8;8;8;8;49;43;6;7.5;5;3;9;10;10;12;5;131.3;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;100;Public Hors EP;12;12;17;8;10;8;3;1;7;9;5;4;8;16;5;12;10;6;6;6;2;7;8;35;2.5;6;4;7;3;15;12;3;2;1;0;10;3;6;4.5;2;2;7;3;2;4;1;101.2;2011-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;116.3;Prive;12;11;11;13;7;8;5;4;7;10;10;4;4;15;3.5;12;37.5;34.8;43.5;9;8;10;9;27;5.5;6;6;9;2;11;14;11;9;9;5;58;66;3;11.5;5;2;9;9;10;11;3;118.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107.9;Public Hors EP;12;13;16;10;9;5;4;3;20;11;10;3;7;20;3.5;13;19;19;27;9;7;12;9;39;6;7;5;9;3;15;13;11;10;10;6;68.0769230769231;112.222222222221;4;9.5;7;6;9;10;10;12;5;106.4;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;89.6;Public Hors EP;12;11;14;9;13;7;6;4;5;11;10;3;8;6;5;11;26;22;21;9;8;10;10;38;4;7;7;9;3;13;13;11;8;8;6;44;52;7;7.5;3;4;8;9;10;15;5;89.5;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;127.3;REP+;;2;5;2;;6;0;;;11;4;2;8;0;0;13;6;5;3;7;4;7;9;39;1;4;7;4;5;6;8;2;3;2;5;8;5;7;5.5;5;5;7;8;10;6;0;66.1;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;84.4;Public Hors EP;14;8;8;6;8;10;6;4;7;2;10;2;7;23;0;12;60;40;62.1428571428571;9;6;10;10;31;6;6;7;10;5;12;13;9;7;8;8;50;50;7;3.5;5;0;7;7;4;7;4;82.6;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;105.2;Public Hors EP;12;12;11;1;8;2;0;2;11;2;4;1;1;15;1.5;8;10;5;;1;1;2;6;13;0;0;0;0;2;14;10;2;0;1;2;9;3;3;2;1;2;4;2;2;4;2;100;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;119.1;Public Hors EP;15;14;13;12;14;9;4;4;12;11;10;5;8;29;5;14;66.9230769230769;49.7142857142857;96.6666666666667;9;7;12;10;40;7;7;7;10;5;14;15;11;12;9;8;68.0769230769231;99;7;6.5;7;8;10;9;10;13;4;119.9;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;98.4;Public Hors EP;12;13;8;7;4;3;2;2;14;11;7;0;5;29;1;14;8;6;11;3;2;5;8;40;4;5;1;7;4;11;15;0;0;1;2;5;4;5;1;0;0;8;4;2;6;2;99.9;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;130.9;Public Hors EP;15;12;18;12;13;9;7;4;21;11;10;5;8;38;3;13;26.7857142857143;27.3684210526316;69.6;10;8;12;9;39;5.5;6;5;10;4;14;15;12;12;9;7;65.5555555555556;124.897959183677;6;10.5;5;2;8;10;10;8;4;130.9;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;103.8;Public Hors EP;13;13;15;10;15;10;7;4;23;11;10;5;8;31;1;13;28;22;27;10;8;12;10;40;8;7;5;10;3;15;14;11;12;9;8;59;68;8;7;7;6;10;10;9;14;4;104.7;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;112.8;Public Hors EP;14;11;16;4;9;4;4;2;15;10;9;3;8;14;2;12;10;9;7;5;1;8;9;37;5;3;1;8;2;13;15;1;6;7;4;20;14;7;12;4;0;4;6;8;9;4;110.4;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;134;Prive;14;13;17;12;11;8;7;4;19;11;10;4;8;24;2;12;17;13;26;8;8;8;9;40;3;5;1;2;2;14;15;9;7;9;6;45;41;7;6;2;2;7;8;8;12;2;133.2;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;108.7;Public Hors EP;15;13;17;12;15;8;6;2;13;11;10;1;6;10;1.5;9;;;;4;7;12;10;40;5;7;7;10;5;15;13;11;10;6;7;43;53;8;9.5;4;4;9;10;10;8;6;113.8;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;119.9;Public Hors EP;13;14;17;14;12;10;7;4;23;11;10;6;8;60;5;12;36;33.3333333333333;116;10;8;12;10;40;6.5;7;7;10;4;15;14;12;11;9;7;61.0169491525424;75;5;8.5;7;8;10;10;10;14;5;120.8;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;106.1;Public Hors EP;15;14;16;15;15;10;7;4;23;11;10;6;8;59;6;14;69.2307692307692;51.4285714285714;108.75;10;8;12;10;40;10;7;7;10;5;15;15;12;11;10;8;90;135.999999999997;8;10.5;7;4;10;9;10;15;6;106.8;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;101.6;Public Hors EP;12;12;17;13;14;10;7;4;5;5;10;0;7;2;2;14;81.8181818181818;52.9411764705882;133.846153846154;9;8;12;10;37;0.5;4;5;9;1;;15;;9;;4;66.6666666666667;123.673469387758;7;6.5;;;8;6;;;1;105.1;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;104.4;Public Hors EP;14;14;13;12;12;10;5;4;7;11;9;5;8;12;1.5;12;22;18;18;4;7;9;10;38;3;4;7;10;4;9;14;10;10;7;6;57;57;4;5;3;5;10;7;9;5;4;104.9;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;105.4;Public Hors EP;10;12;8;7;9;8;3;3;10;11;10;0;8;19;5;13;17;15;16;9;5;6;10;40;2.5;6;4;9;3;13;15;10;8;9;7;30;36;2;12;5;6;8;10;9;11;5;107.5;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;68.6;REP+;;12;9;10;;8;5;;;;;;;;;10;1;2;1;0;0;9;7;23;2;4;4;7;2;0;1;0;0;0;0;1;0;3;1;0;0;2;0;2;2;0;64.9;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;124.9;Prive;14;14;18;15;15;10;7;4;24;11;10;6;8;34;2;14;51.4285714285714;43.5;79.0909090909091;9;6;12;10;40;9;7;7;10;4;14;15;12;12;10;8;61.0169491525424;79;7;11.5;7;6;10;10;10;16;6;125.7;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;103.5;Public Hors EP;15;14;15;6;10;9;4;4;22;11;10;4;8;30;3;13;14;11;12;9;7;12;10;39;6;7;6;10;5;13;14;10;5;10;7;34;37;3;4;3;2;10;6;8;7;1;103.5;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;74.7;REP;14;14;13;15;15;10;7;4;9;11;10;4;8;19;3.5;14;60;41.8604651162791;108.75;10;8;11;10;32;5.5;7;6;10;5;14;13;12;12;10;7;94.7368421052632;126.25;7;10.5;6;6;10;10;10;11;6;76;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;99.5;Prive;15;14;14;13;15;10;7;3;23;11;10;6;8;17;4.5;14;20;22;24;8;5;12;10;40;4.5;5;6;8;4;13;15;12;6;9;6;41;43;7;8;5;5;10;10;9;8;4;98.3;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;93.1;Public Hors EP;12;12;13;5;10;5;4;4;16;11;10;5;8;29;2;12;13;13;20;6;6;8;9;40;2.5;7;2;8;3;15;14;4;8;8;6;45;45;4;5.5;3;2;7;10;8;8;3;117.7;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;87.2;Public Hors EP;10;13;13;7;14;9;4;1;17;11;10;6;8;60;2.5;11;22;16;23;8;5;8;10;36;4.5;7;6;8;5;14;14;12;10;8;7;45;41;5;4.5;6;8;10;10;8;12;6;82.1;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;112.2;Public Hors EP;11;10;12;12;13;4;4;4;15;11;10;5;8;18;0.5;13;16;15;14;7;7;8;10;21;3;5;2;10;3;13;12;10;8;6;7;42;43;6;10.5;7;7;10;10;10;5;3;112.9;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;75.1;Public Hors EP;10;12;12;8;12;9;3;4;9;8;10;2;8;33;1.5;12;23;26;34.8;9;7;11;10;22;5;6;5;10;5;12;12;9;9;1;4;34;35;6;3;3;4;6;10;10;8;4;75.2;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;143.2;Public Hors EP;13;14;17;14;15;10;7;4;23;11;10;4;8;28;6;12;45;40;72.5;10;8;11;10;40;8;7;6;10;5;13;14;11;11;9;8;80;102;8;12;6;7;9;10;10;15;5;142.3;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;58.5;REP+;7;4;8;5;5;4;1;2;15;8;10;1;8;2;;10;11;;5;5;1;4;8;;;;;;;9;8;5;8;4;0;14;10;3;2;1;0;9;6;4;5;1;60.4;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;117.9;Public Hors EP;11;11;11;8;6;6;3;2;13;11;10;4;8;34;1;11;12;6;15;2;2;5;9;40;5;3;0;8;1;14;13;0;5;4;4;35;33;5;3;1;0;3;6;7;4;2;119.2;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;115.7;Public Hors EP;13;14;13;15;15;10;7;4;11;11;10;4;8;21;1;14;42;31.2;40.9756097560976;9;7;10;10;40;6;7;7;10;5;13;15;11;10;10;7;57;75;4;8;6;7;10;9;8;8;5;116.9;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;86;Public Hors EP;12;13;9;4;14;8;6;2;24;11;9;2;5;29;0.5;12;25;27;25;8;5;10;9;32;5;5;2;8;4;15;11;9;7;6;4;24;16;5;0.5;0;1;6;6;4;3;1;87.6;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;117.3;Public Hors EP;11;12;13;5;10;4;5;2;12;11;10;5;8;6;3.5;14;11;6;3;6;1;11;10;40;6;6;1;6;3;12;15;6;3;3;7;17;10;4;2;1;0;7;3;5;1;1;117.6;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;116.2;Public Hors EP;6;10;8;0;2;9;7;3;19;11;7;3;5;9;2;10;15;6;8;2;2;3;8;10;2.5;4;1;5;3;9;13;;2;;2;13;7;0;0;2;1;7;0;5;9;3;119;2011-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;102.5;Public Hors EP;15;14;12;11;12;10;5;4;23;11;10;3;8;38;4;;45.4054054054054;24;49.7142857142857;10;;6;10;;1.5;6;;10;2;13;15;12;10;10;8;52;83;6;12.5;7;0;9;10;10;10;6;117.4;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;89.5;Public Hors EP;11;14;14;6;13;10;2;0;9;11;10;3;8;22;2;11;14;16;29;10;7;12;10;40;5;7;0;10;2;13;15;12;8;8;7;26;40;7;3;3;3;8;10;10;7;4;102.7;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;88.4;REP+;10;6;12;8;12;3;3;4;7;11;10;0;8;8;0;12;22;15;21;8;6;7;10;30;3;4;3;6;2;15;11;12;8;9;7;57;80;5;0;2;0;9;5;5;7;0;89.3;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;90.6;Public Hors EP;14;14;17;15;15;10;7;3;23;11;10;5;8;40;2;14;78.2608695652174;64.2857142857143;116;10;7;12;10;40;7;7;7;10;5;15;15;12;12;9;8;61.0169491525424;96;7;10.5;7;8;10;10;10;9;6;88.9;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;108.8;Prive;15;12;16;14;14;8;7;4;14;11;10;6;8;24;4.5;14;22;16;23;7;8;12;10;39;8;7;7;10;5;15;15;12;10;9;7;53;78;6;11.5;7;7;7;10;10;8;6;112.1;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;111.7;Public Hors EP;13;14;17;13;15;10;7;4;22;11;10;5;8;21;6;14;24;22;36.2790697674419;10;7;12;10;40;8;7;7;10;3;14;14;12;11;9;6;45;62;6;9.5;4;1;9;8;10;15;5;114.8;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;91;REP;3;11;13;5;9;6;6;0;4;11;10;6;8;19;3;14;12;10;9;4;6;9;10;40;8;7;6;9;2;14;12;11;8;7;4;29;20;4;10;3;3;6;9;10;11;6;90.6;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;113;Public Hors EP;15;14;16;14;15;10;6;4;10;11;10;6;8;3;5;14;22;20;23;9;8;11;10;40;9;6;7;10;4;15;15;12;10;10;7;49;63;7;9;7;2;10;9;10;12;5;112.7;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;99.5;Public Hors EP;8;12;11;6;7;5;4;4;12;11;10;0;8;9;2;11;20;10;12;6;6;7;8;16;6;4;1;10;1;11;11;9;10;8;2;27;43;3;6;0;0;2;9;9;5;2;97.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;105.9;Public Hors EP;11;14;11;10;12;5;6;3;9;11;10;3;8;15;0;14;19;20;20;7;6;10;10;40;3;5;7;10;5;13;15;8;7;10;4;42;42;4;9;7;5;8;10;10;9;4;104.4;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;96.8;Public Hors EP;12;13;12;7;10;9;7;4;13;9;10;4;8;18;4;13;12;14;11;7;5;9;10;40;6.5;4;7;10;4;14;15;10;10;9;7;31;25;6;10;7;8;10;9;9;15;6;100.5;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;114;Public Hors EP;14;12;18;8;8;8;4;2;3;9;9;5;5;23;1.5;13;20;18;20;7;4;7;9;37;1;5;1;6;2;15;15;11;7;8;5;32;23;5;4;0;0;9;7;7;9;3;111.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;127.3;Public Hors EP;14;13;15;9;12;7;6;4;20;11;10;2;7;32;4.5;13;30;23.3333333333333;36;8;8;11;10;40;7.5;5;7;10;3;14;15;12;12;10;8;62.1052631578947;89;8;10;6;7;8;8;9;12;5;127.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;90.8;Public Hors EP;;14;10;14;;10;7;;;11;10;5;8;60;6;13;72;40;91.5789473684211;9;8;12;10;40;9;7;7;10;5;14;13;12;12;0;8;105.882352941176;165.405405405403;8;14.5;6;8;10;10;10;16;5;97.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;112.4;Public Hors EP;13;14;16;8;15;9;6;3;8;11;10;2;7;17;6;14;18;15;12;8;7;12;10;39;3;7;7;10;4;15;10;8;10;7;8;43;47;7;9;7;5;10;7;10;8;6;111;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;115.4;Public Hors EP;14;14;16;11;8;10;7;2;13;11;10;4;8;19;2.5;14;23;15;19;10;6;12;10;36;8;6;7;10;5;15;14;11;10;10;8;32;25;8;7.5;4;7;9;10;8;15;5;114.9;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;104.2;Public Hors EP;14;11;14;11;12;4;5;4;23;11;10;2;6;13;2;;;;;6;;5;10;;;;;;;14;14;6;11;9;6;27;33;5;5.5;2;4;9;8;5;6;3;107.5;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;114.7;Public Hors EP;12;12;13;5;12;8;6;4;20;11;10;3;7;30;2;12;58.0645161290323;45;58;10;8;10;9;40;7;6;7;10;4;15;14;10;11;7;8;52;90;5;8.5;7;8;9;10;10;13;6;118.7;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;100.1;Public Hors EP;10;11;10;0;10;4;5;4;4;11;10;4;7;12;2.5;11;12;11;9;7;6;3;10;31;6;3;3;10;2;15;15;11;3;0;5;22;7;7;5;5;4;6;7;6;12;6;101.9;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;96.7;Public Hors EP;13;13;15;13;13;10;6;2;21;11;10;6;8;32;3;14;16;17;17;9;7;12;10;40;6;4;7;10;4;14;15;12;5;8;6;22;29;7;7;6;5;10;10;7;15;5;98.9;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;123.3;Prive;5;12;14;5;10;7;2;3;12;4;10;1;4;2;1;14;5;8;4;0;0;7;7;15;0.5;0;0;5;1;9;13;4;4;2;3;14;1;4;3;2;2;1;3;4;0;1;124.1;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;80.3;REP+;14;13;12;13;11;8;6;4;18;10;10;3;8;30;6;13;25;19;24;9;8;12;10;40;6;7;7;10;3;12;15;10;10;5;8;51;56;7;9;7;8;9;10;10;11;4;81;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;90.4;Public Hors EP;8;12;12;5;12;7;5;4;17;11;10;4;8;22;1;9;5;4;1;2;0;10;10;33;5;7;7;0;5;7;13;0;1;1;1;12;2;3;8;7;8;8;8;5;7;4;89.7;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;114;Prive;9;10;14;9;11;10;4;3;24;9;10;4;8;16;1;9;20;16;26.3157894736842;9;7;12;10;35;8;7;6;9;3;15;13;11;8;8;6;60;56.6666666666661;5;8.5;6;7;7;10;9;10;4;114.8;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;110.1;Public Hors EP;15;13;18;13;14;10;7;2;24;11;10;4;8;28;4;13;27;22;30;9;8;12;10;39;9;7;7;10;5;15;15;12;11;9;8;63.3333333333333;101;7;11.5;7;8;9;9;10;14;6;106.6;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;112;Prive;13;14;15;13;15;10;7;4;22;11;10;5;7;30;6;13;42;26;43.5;10;7;10;10;40;10;7;6;10;5;15;14;11;11;9;8;80.4545454545455;101.69491525424;7;12.5;7;7;10;10;10;13;6;108.3;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;95.6;Public Hors EP;12;13;10;5;15;5;4;4;23;10;10;2;8;60;3;12;17;13;25;8;5;11;10;40;5;7;3;10;4;14;15;12;6;10;6;34;29;7;9;5;3;10;9;10;9;6;94.9;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;106.8;Public Hors EP;14;14;18;13;14;10;5;3;13;11;10;5;8;12;3;11;24;19;27;10;6;9;10;35;8;7;7;10;5;15;15;11;11;10;8;49;54;6;6;1;4;7;10;10;9;5;107.5;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;90.6;REP;14;14;17;11;15;10;4;4;8;11;10;5;6;34;4.5;14;40;39.1304347826087;62.2222222222222;9;7;12;10;40;9;7;7;10;5;14;15;9;9;9;8;32;30;6;5.5;7;6;9;10;10;12;6;88;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;122.7;Public Hors EP;15;12;18;5;11;6;3;4;11;11;10;3;8;19;4;14;17;9;17;10;6;9;10;40;8;7;7;10;3;15;15;12;11;10;7;20;13;6;8.5;7;7;10;10;10;15;5;122.4;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;95.5;Public Hors EP;13;11;8;10;11;10;7;3;14;11;10;0;8;16;6;11;19;20;24;9;8;10;10;40;6;4;6;10;3;12;11;11;12;8;4;40;41;8;13;4;3;9;10;10;13;4;95.6;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
